-------------------------------------------------- Round 0 -------------------------------------------------- 
Efficient Network
Node 2: 597172.4580146698
Node 3: 597172.4580146698
Node 4: 597172.4580146698
Node 5: 597170.8642031448
Node 6: 597172.4580146698
Node 7: 597170.8642031448
Node 8: 597172.4580146698
Node 9: 597170.8642031448
Node 10: 597170.8642031448
Node 11: 597170.8642031448
Node 12: 597172.4580146698
Node 13: 597172.4580146698
Node 14: 597170.8642031448
Node 15: 597172.4580146698
Node 16: 597170.8642031448
Node 17: 597172.4580146698
Node 18: 597172.4580146698
Node 19: 597172.4580146698
-------------------------------------------------- Round 9 -------------------------------------------------- 
Efficient Network
Node 0: 597130.5450659025
Node 1: 597231.5184644822
Node 2: 597131.5219211106
Node 3: 597131.5219211106
Node 4: 597132.3037116334
Node 5: 597130.3433394613
Node 6: 597232.0077819981
Node 7: 597129.9944234896
Node 8: 597132.0156021127
Node 9: 597131.2473007361
Node 10: 597131.0156799171
Node 11: 597132.5476174045
Node 12: 597131.7574179547
Node 13: 597130.5450659025
Node 14: 597231.8106222753
Node 15: 597130.7597821197
Node 16: 597132.3037116334
Node 17: 597232.3905392333
Node 18: 597130.1993798704
Node 19: 597131.5219211106
Inefficient Network
Node 0: 597170.8642031448
Node 1: 597170.8642031448
Node 2: 597161.2605676538
Node 3: 597160.2446312819
Node 4: 597170.8642031448
Node 5: 597161.2605676538
Node 6: 597164.4832117632
Node 7: 597162.6279911683
Node 8: 597170.8642031448
Node 9: 597170.8642031448
Node 10: 597170.8642031448
Node 11: 597162.6279911683
Node 12: 597170.8642031448
Node 13: 597165.8171684862
Node 14: 597170.8642031448
Node 15: 597162.6279911683
Node 16: 597170.8642031448
Node 17: 597168.8383462562
Node 18: 597167.2770322657
Node 19: 597160.2446312819
-------------------------------------------------- Round 10 -------------------------------------------------- 
Efficient Network
Node 0: 597129.696224233
Node 1: 597226.6307610408
Node 2: 597129.8574810614
Node 3: 597127.9993610722
Node 4: 597128.600921054
Node 5: 597129.8574810614
Node 6: 597226.9561509707
Node 7: 597128.1918787422
Node 8: 597129.9944234896
Node 9: 597128.7566882502
Node 10: 597129.5472572572
Node 11: 597129.8574810614
Node 12: 597127.8500712097
Node 13: 597127.7156188644
Node 14: 597226.7804576735
Node 15: 597128.4037315769
Node 16: 597129.4312463062
Node 17: 597227.3248546214
Node 18: 597129.2146863509
Node 19: 597128.9558373035
Inefficient Network
Node 0: 597160.2446312819
Node 1: 597160.2446312819
Node 2: 597160.2446312819
Node 3: 597160.2446312819
Node 4: 597160.2446312819
Node 5: 597160.2446312819
Node 6: 597160.2446312819
Node 7: 597160.2446312819
Node 8: 597160.2446312819
Node 9: 597160.2446312819
Node 10: 597160.2446312819
Node 11: 597160.2446312819
Node 12: 597160.2446312819
Node 13: 597160.2446312819
Node 14: 597160.2446312819
Node 15: 597160.2446312819
Node 16: 597160.2446312819
Node 17: 597160.2446312819
Node 18: 597160.2446312819
Node 19: 597160.2446312819
-------------------------------------------------- Round 11 -------------------------------------------------- 
Efficient Network
Node 0: 597126.4694950198
Node 1: 597219.197813826
Node 2: 597125.5677031708
Node 3: 597126.6045153141
Node 4: 597126.1963153301
Node 5: 597126.6984215738
Node 6: 597219.3365768833
Node 7: 597127.2341212736
Node 8: 597125.4273494859
Node 9: 597126.3370632112
Node 10: 597127.3427638967
Node 11: 597126.8941512118
Node 12: 597125.8817370576
Node 13: 597127.2341212736
Node 14: 597221.1433513142
Node 15: 597127.4683042958
Node 16: 597125.5677031708
Node 17: 597219.6686517539
Node 18: 597125.7825131615
Node 19: 597126.0496109321
Inefficient Network
Node 0: 597160.2446312819
Node 1: 597157.832029563
Node 2: 597160.2446312819
Node 3: 597156.1392615575
Node 4: 597160.2446312819
Node 5: 597154.9132263043
Node 6: 597156.1392615575
Node 7: 597156.1392615575
Node 8: 597160.2446312819
Node 9: 597160.2446312819
Node 10: 597160.2446312819
Node 11: 597160.2446312819
Node 12: 597154.9132263043
Node 13: 597154.9132263043
Node 14: 597158.8192409908
Node 15: 597156.8608125006
Node 16: 597156.8608125006
Node 17: 597158.8192409908
Node 18: 597160.2446312819
Node 19: 597156.1392615575
-------------------------------------------------- Round 12 -------------------------------------------------- 
Efficient Network
Node 0: 597124.390279596
Node 1: 597213.8096950571
Node 2: 597125.2871916653
Node 3: 597124.1970988445
Node 4: 597124.0752931249
Node 5: 597124.2811270842
Node 6: 597213.9941934975
Node 7: 597124.8256964139
Node 8: 597123.3624565224
Node 9: 597123.3624565224
Node 10: 597125.0217988783
Node 11: 597123.5190229636
Node 12: 597123.8087345213
Node 13: 597123.6031777819
Node 14: 597215.8469997474
Node 15: 597123.4393616428
Node 16: 597123.7040116609
Node 17: 597214.2137009072
Node 18: 597124.6807973319
Node 19: 597125.1559395823
Inefficient Network
Node 0: 597154.9132263043
Node 1: 597150.5037004226
Node 2: 597154.9132263043
Node 3: 597154.1203929806
Node 4: 597154.9132263043
Node 5: 597149.8008071576
Node 6: 597150.5037004226
Node 7: 597152.2533248666
Node 8: 597152.9748195066
Node 9: 597152.2533248666
Node 10: 597154.9132263043
Node 11: 597149.8008071576
Node 12: 597151.2008200691
Node 13: 597149.8008071576
Node 14: 597152.9748195066
Node 15: 597150.5037004226
Node 16: 597154.1203929806
Node 17: 597149.8008071576
Node 18: 597150.5037004226
Node 19: 597149.8008071576
-------------------------------------------------- Round 13 -------------------------------------------------- 
Efficient Network
Node 0: 597123.0098116876
Node 1: 597208.6863748799
Node 2: 597122.6419626966
Node 3: 597122.3599957529
Node 4: 597122.2414629305
Node 5: 597122.5403756676
Node 6: 597208.7350226158
Node 7: 597122.8256172085
Node 8: 597122.4234600877
Node 9: 597122.3599957529
Node 10: 597122.9348959777
Node 11: 597122.7705100676
