-------------------------------------------------- Round 0 -------------------------------------------------- 
Efficient Network
Node 12: 14029.931497404352
Node 13: 14029.931497404352
Node 14: 14029.931497404352
Node 15: 14029.931497404352
Node 16: 14029.931497404352
Node 17: 14029.930430455106
Node 18: 14029.930430455106
Node 19: 14029.931497404352
-------------------------------------------------- Round 9 -------------------------------------------------- 
Efficient Network
Node 0: 14028.445760898465
Node 1: 14028.445700199778
Node 2: 14028.445641422251
Node 3: 14028.443160913597
Node 4: 14028.443191526298
Node 5: 14028.445669557806
Node 6: 14028.449378985304
Node 7: 14028.443160913597
Node 8: 14028.444115993154
Node 9: 14049.546151538854
Node 10: 14028.445700199778
Node 11: 14040.970059983285
Node 12: 14058.055669723515
Node 13: 14028.449378985304
Node 14: 14028.444115993154
Node 15: 14028.443899776235
Node 16: 14087.238584769262
Node 17: 14028.443191526298
Node 18: 14028.443160913597
Node 19: 14028.445700199778
Inefficient Network
Node 0: 14029.931497404352
Node 1: 14029.930430455106
Node 2: 14029.931497404352
Node 3: 14029.931497404352
Node 4: 14029.931497404352
Node 5: 14029.930430455106
Node 6: 14029.931497404352
Node 7: 14029.931497404352
Node 8: 14029.931497404352
Node 9: 14029.931497404352
Node 10: 14029.931497404352
Node 11: 14029.931497404352
Node 12: 14029.931497404352
Node 13: 14029.931497404352
Node 14: 14029.931497404352
Node 15: 14029.931497404352
Node 16: 14029.931497404352
Node 17: 14029.930430455106
Node 18: 14029.930430455106
Node 19: 14029.931497404352
-------------------------------------------------- Round 10 -------------------------------------------------- 
Efficient Network
Node 0: 14028.445760898465
Node 1: 14028.445700199778
Node 2: 14028.445641422251
Node 3: 14028.443160913597
Node 4: 14028.443191526298
Node 5: 14028.445669557806
Node 6: 14028.449378985304
Node 7: 14028.443160913597
Node 8: 14028.445669557806
Node 9: 14046.289402738994
Node 10: 14028.445700199778
Node 11: 14038.097313807662
Node 12: 14054.370869032873
Node 13: 14028.449378985304
Node 14: 14028.444115993154
Node 15: 14028.443899776235
Node 16: 14065.27632115467
Node 17: 14028.443191526298
Node 18: 14028.443160913597
Node 19: 14028.445700199778
Inefficient Network
Node 0: 14029.931497404352
Node 1: 14029.930430455106
Node 2: 14029.931497404352
Node 3: 14029.931497404352
Node 4: 14029.931497404352
Node 5: 14029.930430455106
Node 6: 14029.931497404352
Node 7: 14029.931497404352
Node 8: 14029.931497404352
Node 9: 14029.931497404352
Node 10: 14029.931497404352
Node 11: 14029.931497404352
Node 12: 14029.931497404352
Node 13: 14029.931497404352
Node 14: 14029.931497404352
Node 15: 14029.931497404352
Node 16: 14029.931497404352
Node 17: 14029.930430455106
Node 18: 14029.930430455106
Node 19: 14029.931497404352
-------------------------------------------------- Round 11 -------------------------------------------------- 
Efficient Network
Node 0: 14028.445760898465
Node 1: 14028.445700199778
Node 2: 14028.445641422251
Node 3: 14028.443160913597
Node 4: 14028.443191526298
Node 5: 14028.445669557806
Node 6: 14028.445669557806
Node 7: 14028.443160913597
Node 8: 14028.445669557806
Node 9: 14043.890814861106
Node 10: 14028.445669557806
Node 11: 14028.445669557806
Node 12: 14052.875926801626
Node 13: 14028.449378985304
Node 14: 14028.445669557806
Node 15: 14028.443899776235
Node 16: 14060.349348780146
Node 17: 14028.443191526298
Node 18: 14028.443160913597
Node 19: 14028.445700199778
Inefficient Network
Node 0: 14029.931497404352
Node 1: 14029.930430455106
Node 2: 14029.931497404352
